"datasetId";"startTime";"endTime";"value"
124;"2023-12-31T21:30:00.000Z";"2023-12-31T21:45:00.000Z";12810
124;"2023-12-31T21:15:00.000Z";"2023-12-31T21:30:00.000Z";12854
124;"2023-12-31T21:00:00.000Z";"2023-12-31T21:15:00.000Z";12889
124;"2023-12-31T20:45:00.000Z";"2023-12-31T21:00:00.000Z";12851
124;"2023-12-31T20:30:00.000Z";"2023-12-31T20:45:00.000Z";12852
124;"2023-12-31T20:15:00.000Z";"2023-12-31T20:30:00.000Z";12793
124;"2023-12-31T20:00:00.000Z";"2023-12-31T20:15:00.000Z";12321
124;"2023-12-31T19:45:00.000Z";"2023-12-31T20:00:00.000Z";12494
124;"2023-12-31T19:30:00.000Z";"2023-12-31T19:45:00.000Z";12499
124;"2023-12-31T19:15:00.000Z";"2023-12-31T19:30:00.000Z";12605
124;"2023-12-31T19:00:00.000Z";"2023-12-31T19:15:00.000Z";12623
124;"2023-12-31T18:45:00.000Z";"2023-12-31T19:00:00.000Z";12678
124;"2023-12-31T18:30:00.000Z";"2023-12-31T18:45:00.000Z";12539
124;"2023-12-31T18:15:00.000Z";"2023-12-31T18:30:00.000Z";12601
124;"2023-12-31T18:00:00.000Z";"2023-12-31T18:15:00.000Z";12563
124;"2023-12-31T17:45:00.000Z";"2023-12-31T18:00:00.000Z";12477
124;"2023-12-31T17:30:00.000Z";"2023-12-31T17:45:00.000Z";12640
124;"2023-12-31T17:15:00.000Z";"2023-12-31T17:30:00.000Z";12583
124;"2023-12-31T17:00:00.000Z";"2023-12-31T17:15:00.000Z";12709
124;"2023-12-31T16:45:00.000Z";"2023-12-31T17:00:00.000Z";12659
124;"2023-12-31T16:30:00.000Z";"2023-12-31T16:45:00.000Z";12635
124;"2023-12-31T16:15:00.000Z";"2023-12-31T16:30:00.000Z";12751
124;"2023-12-31T16:00:00.000Z";"2023-12-31T16:15:00.000Z";12665
124;"2023-12-31T15:45:00.000Z";"2023-12-31T16:00:00.000Z";12760
124;"2023-12-31T15:30:00.000Z";"2023-12-31T15:45:00.000Z";12746
124;"2023-12-31T15:15:00.000Z";"2023-12-31T15:30:00.000Z";12834
124;"2023-12-31T15:00:00.000Z";"2023-12-31T15:15:00.000Z";12732
124;"2023-12-31T14:45:00.000Z";"2023-12-31T15:00:00.000Z";12651
124;"2023-12-31T14:30:00.000Z";"2023-12-31T14:45:00.000Z";12653
124;"2023-12-31T14:15:00.000Z";"2023-12-31T14:30:00.000Z";12731
124;"2023-12-31T14:00:00.000Z";"2023-12-31T14:15:00.000Z";12667
124;"2023-12-31T13:45:00.000Z";"2023-12-31T14:00:00.000Z";12509
124;"2023-12-31T13:30:00.000Z";"2023-12-31T13:45:00.000Z";12406
124;"2023-12-31T13:15:00.000Z";"2023-12-31T13:30:00.000Z";12295
124;"2023-12-31T13:00:00.000Z";"2023-12-31T13:15:00.000Z";12314
124;"2023-12-31T12:45:00.000Z";"2023-12-31T13:00:00.000Z";12293
124;"2023-12-31T12:30:00.000Z";"2023-12-31T12:45:00.000Z";12358
124;"2023-12-31T12:15:00.000Z";"2023-12-31T12:30:00.000Z";12238
124;"2023-12-31T12:00:00.000Z";"2023-12-31T12:15:00.000Z";12256
124;"2023-12-31T11:45:00.000Z";"2023-12-31T12:00:00.000Z";12261
124;"2023-12-31T11:30:00.000Z";"2023-12-31T11:45:00.000Z";12266
124;"2023-12-31T11:15:00.000Z";"2023-12-31T11:30:00.000Z";12234
124;"2023-12-31T11:00:00.000Z";"2023-12-31T11:15:00.000Z";12261
124;"2023-12-31T10:45:00.000Z";"2023-12-31T11:00:00.000Z";12330
124;"2023-12-31T10:30:00.000Z";"2023-12-31T10:45:00.000Z";12285
124;"2023-12-31T10:15:00.000Z";"2023-12-31T10:30:00.000Z";12345
124;"2023-12-31T10:00:00.000Z";"2023-12-31T10:15:00.000Z";12266
124;"2023-12-31T09:45:00.000Z";"2023-12-31T10:00:00.000Z";12277
124;"2023-12-31T09:30:00.000Z";"2023-12-31T09:45:00.000Z";12240
124;"2023-12-31T09:15:00.000Z";"2023-12-31T09:30:00.000Z";12238
124;"2023-12-31T09:00:00.000Z";"2023-12-31T09:15:00.000Z";12211
124;"2023-12-31T08:45:00.000Z";"2023-12-31T09:00:00.000Z";12116
124;"2023-12-31T08:30:00.000Z";"2023-12-31T08:45:00.000Z";12096
124;"2023-12-31T08:15:00.000Z";"2023-12-31T08:30:00.000Z";11987
124;"2023-12-31T08:00:00.000Z";"2023-12-31T08:15:00.000Z";11970
124;"2023-12-31T07:45:00.000Z";"2023-12-31T08:00:00.000Z";11875
124;"2023-12-31T07:30:00.000Z";"2023-12-31T07:45:00.000Z";11886
124;"2023-12-31T07:15:00.000Z";"2023-12-31T07:30:00.000Z";11926
124;"2023-12-31T07:00:00.000Z";"2023-12-31T07:15:00.000Z";11808
124;"2023-12-31T06:45:00.000Z";"2023-12-31T07:00:00.000Z";11832
124;"2023-12-31T06:30:00.000Z";"2023-12-31T06:45:00.000Z";11761
124;"2023-12-31T06:15:00.000Z";"2023-12-31T06:30:00.000Z";11611
124;"2023-12-31T06:00:00.000Z";"2023-12-31T06:15:00.000Z";11650
124;"2023-12-31T05:45:00.000Z";"2023-12-31T06:00:00.000Z";11596
124;"2023-12-31T05:30:00.000Z";"2023-12-31T05:45:00.000Z";11480
124;"2023-12-31T05:15:00.000Z";"2023-12-31T05:30:00.000Z";11487
124;"2023-12-31T05:00:00.000Z";"2023-12-31T05:15:00.000Z";11380
124;"2023-12-31T04:45:00.000Z";"2023-12-31T05:00:00.000Z";11455
124;"2023-12-31T04:30:00.000Z";"2023-12-31T04:45:00.000Z";11318
124;"2023-12-31T04:15:00.000Z";"2023-12-31T04:30:00.000Z";11294
124;"2023-12-31T04:00:00.000Z";"2023-12-31T04:15:00.000Z";11273
124;"2023-12-31T03:45:00.000Z";"2023-12-31T04:00:00.000Z";11145
124;"2023-12-31T03:30:00.000Z";"2023-12-31T03:45:00.000Z";11195
124;"2023-12-31T03:15:00.000Z";"2023-12-31T03:30:00.000Z";11285
124;"2023-12-31T03:00:00.000Z";"2023-12-31T03:15:00.000Z";11187
124;"2023-12-31T02:45:00.000Z";"2023-12-31T03:00:00.000Z";11120
124;"2023-12-31T02:30:00.000Z";"2023-12-31T02:45:00.000Z";11123
124;"2023-12-31T02:15:00.000Z";"2023-12-31T02:30:00.000Z";11174
124;"2023-12-31T02:00:00.000Z";"2023-12-31T02:15:00.000Z";11023
124;"2023-12-31T01:45:00.000Z";"2023-12-31T02:00:00.000Z";11101
124;"2023-12-31T01:30:00.000Z";"2023-12-31T01:45:00.000Z";11119
124;"2023-12-31T01:15:00.000Z";"2023-12-31T01:30:00.000Z";10948
124;"2023-12-31T01:00:00.000Z";"2023-12-31T01:15:00.000Z";11077
124;"2023-12-31T00:45:00.000Z";"2023-12-31T01:00:00.000Z";11168
124;"2023-12-31T00:30:00.000Z";"2023-12-31T00:45:00.000Z";11174
124;"2023-12-31T00:15:00.000Z";"2023-12-31T00:30:00.000Z";11197
124;"2023-12-31T00:00:00.000Z";"2023-12-31T00:15:00.000Z";11157
124;"2023-12-30T23:45:00.000Z";"2023-12-31T00:00:00.000Z";11239
124;"2023-12-30T23:30:00.000Z";"2023-12-30T23:45:00.000Z";11298
124;"2023-12-30T23:15:00.000Z";"2023-12-30T23:30:00.000Z";11392
124;"2023-12-30T23:00:00.000Z";"2023-12-30T23:15:00.000Z";11354
124;"2023-12-30T22:45:00.000Z";"2023-12-30T23:00:00.000Z";11379
124;"2023-12-30T22:30:00.000Z";"2023-12-30T22:45:00.000Z";11510
124;"2023-12-30T22:15:00.000Z";"2023-12-30T22:30:00.000Z";11664
124;"2023-12-30T22:00:00.000Z";"2023-12-30T22:15:00.000Z";11440
124;"2023-12-30T21:45:00.000Z";"2023-12-30T22:00:00.000Z";11658
124;"2023-12-30T21:30:00.000Z";"2023-12-30T21:45:00.000Z";11745
124;"2023-12-30T21:15:00.000Z";"2023-12-30T21:30:00.000Z";11894
124;"2023-12-30T21:00:00.000Z";"2023-12-30T21:15:00.000Z";11879
124;"2023-12-30T20:45:00.000Z";"2023-12-30T21:00:00.000Z";11808
124;"2023-12-30T20:30:00.000Z";"2023-12-30T20:45:00.000Z";11905
124;"2023-12-30T20:15:00.000Z";"2023-12-30T20:30:00.000Z";11853
124;"2023-12-30T20:00:00.000Z";"2023-12-30T20:15:00.000Z";11581
124;"2023-12-30T19:45:00.000Z";"2023-12-30T20:00:00.000Z";11483
124;"2023-12-30T19:30:00.000Z";"2023-12-30T19:45:00.000Z";11702
124;"2023-12-30T19:15:00.000Z";"2023-12-30T19:30:00.000Z";11787
124;"2023-12-30T19:00:00.000Z";"2023-12-30T19:15:00.000Z";11864
124;"2023-12-30T18:45:00.000Z";"2023-12-30T19:00:00.000Z";11788
124;"2023-12-30T18:30:00.000Z";"2023-12-30T18:45:00.000Z";11917
124;"2023-12-30T18:15:00.000Z";"2023-12-30T18:30:00.000Z";11995
124;"2023-12-30T18:00:00.000Z";"2023-12-30T18:15:00.000Z";12094
124;"2023-12-30T17:45:00.000Z";"2023-12-30T18:00:00.000Z";11942
124;"2023-12-30T17:30:00.000Z";"2023-12-30T17:45:00.000Z";11937
124;"2023-12-30T17:15:00.000Z";"2023-12-30T17:30:00.000Z";11963
124;"2023-12-30T17:00:00.000Z";"2023-12-30T17:15:00.000Z";12099
124;"2023-12-30T16:45:00.000Z";"2023-12-30T17:00:00.000Z";12064
124;"2023-12-30T16:30:00.000Z";"2023-12-30T16:45:00.000Z";12050
124;"2023-12-30T16:15:00.000Z";"2023-12-30T16:30:00.000Z";12038
124;"2023-12-30T16:00:00.000Z";"2023-12-30T16:15:00.000Z";12165
124;"2023-12-30T15:45:00.000Z";"2023-12-30T16:00:00.000Z";12104
