"datasetId";"startTime";"endTime";"value"
74;"2023-12-31T21:30:00.000Z";"2023-12-31T21:45:00.000Z";10498
74;"2023-12-31T21:15:00.000Z";"2023-12-31T21:30:00.000Z";10647
74;"2023-12-31T21:00:00.000Z";"2023-12-31T21:15:00.000Z";10744
74;"2023-12-31T20:45:00.000Z";"2023-12-31T21:00:00.000Z";10884
74;"2023-12-31T20:30:00.000Z";"2023-12-31T20:45:00.000Z";11073
74;"2023-12-31T20:15:00.000Z";"2023-12-31T20:30:00.000Z";11205
74;"2023-12-31T20:00:00.000Z";"2023-12-31T20:15:00.000Z";11196
74;"2023-12-31T19:45:00.000Z";"2023-12-31T20:00:00.000Z";11258
74;"2023-12-31T19:30:00.000Z";"2023-12-31T19:45:00.000Z";11367
74;"2023-12-31T19:15:00.000Z";"2023-12-31T19:30:00.000Z";11593
74;"2023-12-31T19:00:00.000Z";"2023-12-31T19:15:00.000Z";11910
74;"2023-12-31T18:45:00.000Z";"2023-12-31T19:00:00.000Z";11942
74;"2023-12-31T18:30:00.000Z";"2023-12-31T18:45:00.000Z";11990
74;"2023-12-31T18:15:00.000Z";"2023-12-31T18:30:00.000Z";12172
74;"2023-12-31T18:00:00.000Z";"2023-12-31T18:15:00.000Z";12136
74;"2023-12-31T17:45:00.000Z";"2023-12-31T18:00:00.000Z";12162
74;"2023-12-31T17:30:00.000Z";"2023-12-31T17:45:00.000Z";12078
74;"2023-12-31T17:15:00.000Z";"2023-12-31T17:30:00.000Z";12033
74;"2023-12-31T17:00:00.000Z";"2023-12-31T17:15:00.000Z";12007
74;"2023-12-31T16:45:00.000Z";"2023-12-31T17:00:00.000Z";11953
74;"2023-12-31T16:30:00.000Z";"2023-12-31T16:45:00.000Z";11873
74;"2023-12-31T16:15:00.000Z";"2023-12-31T16:30:00.000Z";11815
74;"2023-12-31T16:00:00.000Z";"2023-12-31T16:15:00.000Z";11751
74;"2023-12-31T15:45:00.000Z";"2023-12-31T16:00:00.000Z";11767
74;"2023-12-31T15:30:00.000Z";"2023-12-31T15:45:00.000Z";11755
74;"2023-12-31T15:15:00.000Z";"2023-12-31T15:30:00.000Z";11688
74;"2023-12-31T15:00:00.000Z";"2023-12-31T15:15:00.000Z";11569
74;"2023-12-31T14:45:00.000Z";"2023-12-31T15:00:00.000Z";11422
74;"2023-12-31T14:30:00.000Z";"2023-12-31T14:45:00.000Z";11456
74;"2023-12-31T14:15:00.000Z";"2023-12-31T14:30:00.000Z";11309
74;"2023-12-31T14:00:00.000Z";"2023-12-31T14:15:00.000Z";11240
74;"2023-12-31T13:45:00.000Z";"2023-12-31T14:00:00.000Z";11139
74;"2023-12-31T13:30:00.000Z";"2023-12-31T13:45:00.000Z";11034
74;"2023-12-31T13:15:00.000Z";"2023-12-31T13:30:00.000Z";10919
74;"2023-12-31T13:00:00.000Z";"2023-12-31T13:15:00.000Z";10796
74;"2023-12-31T12:45:00.000Z";"2023-12-31T13:00:00.000Z";10688
74;"2023-12-31T12:30:00.000Z";"2023-12-31T12:45:00.000Z";10697
74;"2023-12-31T12:15:00.000Z";"2023-12-31T12:30:00.000Z";10666
74;"2023-12-31T12:00:00.000Z";"2023-12-31T12:15:00.000Z";10663
74;"2023-12-31T11:45:00.000Z";"2023-12-31T12:00:00.000Z";10651
74;"2023-12-31T11:30:00.000Z";"2023-12-31T11:45:00.000Z";10674
74;"2023-12-31T11:15:00.000Z";"2023-12-31T11:30:00.000Z";10716
74;"2023-12-31T11:00:00.000Z";"2023-12-31T11:15:00.000Z";10733
74;"2023-12-31T10:45:00.000Z";"2023-12-31T11:00:00.000Z";10628
74;"2023-12-31T10:30:00.000Z";"2023-12-31T10:45:00.000Z";10731
74;"2023-12-31T10:15:00.000Z";"2023-12-31T10:30:00.000Z";10786
74;"2023-12-31T10:00:00.000Z";"2023-12-31T10:15:00.000Z";10672
74;"2023-12-31T09:45:00.000Z";"2023-12-31T10:00:00.000Z";10673
74;"2023-12-31T09:30:00.000Z";"2023-12-31T09:45:00.000Z";10643
74;"2023-12-31T09:15:00.000Z";"2023-12-31T09:30:00.000Z";10611
74;"2023-12-31T09:00:00.000Z";"2023-12-31T09:15:00.000Z";10598
74;"2023-12-31T08:45:00.000Z";"2023-12-31T09:00:00.000Z";10548
74;"2023-12-31T08:30:00.000Z";"2023-12-31T08:45:00.000Z";10500
74;"2023-12-31T08:15:00.000Z";"2023-12-31T08:30:00.000Z";10483
74;"2023-12-31T08:00:00.000Z";"2023-12-31T08:15:00.000Z";10200
74;"2023-12-31T07:45:00.000Z";"2023-12-31T08:00:00.000Z";10099
74;"2023-12-31T07:30:00.000Z";"2023-12-31T07:45:00.000Z";10132
74;"2023-12-31T07:15:00.000Z";"2023-12-31T07:30:00.000Z";10199
74;"2023-12-31T07:00:00.000Z";"2023-12-31T07:15:00.000Z";10095
74;"2023-12-31T06:45:00.000Z";"2023-12-31T07:00:00.000Z";9912
74;"2023-12-31T06:30:00.000Z";"2023-12-31T06:45:00.000Z";9894
74;"2023-12-31T06:15:00.000Z";"2023-12-31T06:30:00.000Z";9812
74;"2023-12-31T06:00:00.000Z";"2023-12-31T06:15:00.000Z";9764
74;"2023-12-31T05:45:00.000Z";"2023-12-31T06:00:00.000Z";9865
74;"2023-12-31T05:30:00.000Z";"2023-12-31T05:45:00.000Z";9755
74;"2023-12-31T05:15:00.000Z";"2023-12-31T05:30:00.000Z";9659
74;"2023-12-31T05:00:00.000Z";"2023-12-31T05:15:00.000Z";9581
74;"2023-12-31T04:45:00.000Z";"2023-12-31T05:00:00.000Z";9469
74;"2023-12-31T04:30:00.000Z";"2023-12-31T04:45:00.000Z";9615
74;"2023-12-31T04:15:00.000Z";"2023-12-31T04:30:00.000Z";9663
74;"2023-12-31T04:00:00.000Z";"2023-12-31T04:15:00.000Z";9547
74;"2023-12-31T03:45:00.000Z";"2023-12-31T04:00:00.000Z";9588
74;"2023-12-31T03:30:00.000Z";"2023-12-31T03:45:00.000Z";9715
74;"2023-12-31T03:15:00.000Z";"2023-12-31T03:30:00.000Z";9831
74;"2023-12-31T03:00:00.000Z";"2023-12-31T03:15:00.000Z";9819
74;"2023-12-31T02:45:00.000Z";"2023-12-31T03:00:00.000Z";9974
74;"2023-12-31T02:30:00.000Z";"2023-12-31T02:45:00.000Z";10064
74;"2023-12-31T02:15:00.000Z";"2023-12-31T02:30:00.000Z";10063
74;"2023-12-31T02:00:00.000Z";"2023-12-31T02:15:00.000Z";10034
74;"2023-12-31T01:45:00.000Z";"2023-12-31T02:00:00.000Z";9944
74;"2023-12-31T01:30:00.000Z";"2023-12-31T01:45:00.000Z";10041
74;"2023-12-31T01:15:00.000Z";"2023-12-31T01:30:00.000Z";10123
74;"2023-12-31T01:00:00.000Z";"2023-12-31T01:15:00.000Z";10195
