CO2,date,hour,consumption,production,solar prediction,wind,hydro,district,electricity_cost,year,month,day,day_of_week,Vantaa Helsinki-Vantaan lentoasema temperature,Vaasa lentoasema temperature,Liperi Joensuu lentoasema temperature,Jyväskylä lentoasema temperature,Rovaniemi lentoasema AWOS temperature
39.9617455,2023-01-01,0,8809.0,10592.0,0.0,3558.065,517.146997,912.1929975,0.01,2023.0,1.0,1.0,6,3.6,2.4,2.5,2.4,0.0
39.724594,2023-01-01,1,8632.0,10706.0,0.0,3635.2399995,538.3349965,916.0324975,0.009,2023.0,1.0,1.0,6,4.0,2.3,2.9,2.0,0.0
39.959596,2023-01-01,2,8587.0,10692.0,0.0,3627.525,523.6419950000001,919.2879965,0.006,2023.0,1.0,1.0,6,3.1,1.9,2.6,1.5,-0.2
40.4046965,2023-01-01,3,8628.0,10606.0,0.0,3503.089999,559.1339945,922.4124945,0.009,2023.0,1.0,1.0,6,1.8,1.4,2.4,0.9,-0.5
41.233696,2023-01-01,4,8825.0,10455.0,0.0,3352.5449985,541.4074975000001,926.855495,0.01,2023.0,1.0,1.0,6,1.5,1.0,2.3,0.5,-0.4
41.238447,2023-01-01,5,8868.0,10598.0,0.0,3392.4799995000003,613.7004975,939.2554954999999,0.058,2023.0,1.0,1.0,6,1.3,0.6,1.6,0.2,-0.4
41.7506955,2023-01-01,6,9056.0,10510.0,0.0,3234.8249994999996,676.6284965,946.6404974999999,0.223,2023.0,1.0,1.0,6,0.5,0.1,1.3,-0.2,-1.1
41.967397,2023-01-01,7,9157.0,10504.0,0.0,3212.3999995,675.4099954999999,948.774496,0.341,2023.0,1.0,1.0,6,-1.2,-0.4,0.9,-0.6,-1.5
41.8544445,2023-01-01,8,9296.0,10507.0,7.2,3210.665,682.357496,943.8994930000001,0.487,2023.0,1.0,1.0,6,-1.5,-0.6,0.6,-1.2,-1.9
41.6904465,2023-01-01,9,9450.0,10575.0,23.89999,3251.4199995,698.0734970000001,948.6389955000001,0.667,2023.0,1.0,1.0,6,-0.7,-0.5,0.4,-1.6,-2.1
41.014646,2023-01-01,10,9499.0,10827.0,33.89999,3413.9099990000004,752.726995,951.8939965,0.667,2023.0,1.0,1.0,6,-0.8,-0.4,-0.1,-1.7,-2.0
40.995396,2023-01-01,11,9528.0,10831.0,29.69999,3417.4800000000005,774.8564975,967.003996,0.625,2023.0,1.0,1.0,6,-0.1,-0.3,-0.2,-1.7,-2.0
41.688595500000005,2023-01-01,12,9551.0,10674.0,6.7,3260.764999,802.6354975,976.1474959999999,1.948,2023.0,1.0,1.0,6,-0.2,-0.5,-0.7,-1.7,-1.8
41.054145,2023-01-01,13,9746.0,10921.0,0.0,3484.15,869.661494,985.989495,2.652,2023.0,1.0,1.0,6,-0.9,-0.7,-1.3,-2.4,-2.2
41.4750945,2023-01-01,14,10126.0,11171.0,0.0,3598.519999,948.1334979999999,1030.1949995,4.019,2023.0,1.0,1.0,6,-1.7,-1.0,-1.5,-2.7,-2.4
43.2390965,2023-01-01,15,10055.0,11365.0,0.0,3502.8999995,1068.8794979999998,1126.535,5.063,2023.0,1.0,1.0,6,-1.6,-1.2,-1.6,-2.8,-1.3
44.378394,2023-01-01,16,10118.0,11615.0,0.0,3540.9199999999996,1186.16,1201.7599995,5.965,2023.0,1.0,1.0,6,-1.9,-1.2,-1.8,-3.2,-1.8
45.238096,2023-01-01,17,10122.0,11713.0,0.0,3620.304999,1147.355,1249.285,5.899,2023.0,1.0,1.0,6,-2.4,-1.7,-2.2,-3.6,-2.0
45.649845500000005,2023-01-01,18,9984.0,11664.0,0.0,3675.289998,1036.1534995,1262.315,5.286,2023.0,1.0,1.0,6,-2.4,0.0,-2.6,-3.7,-2.1
46.38639500000001,2023-01-01,19,9724.0,11472.0,0.0,3604.7149985000005,921.6849945,1267.405,4.915,2023.0,1.0,1.0,6,-2.7,-0.3,-2.6,-3.6,-2.3
47.0935455,2023-01-01,20,10051.0,11161.0,0.0,3339.5499995,899.4169935,1248.865,5.056,2023.0,1.0,1.0,6,-2.7,-0.3,-2.7,-3.6,-3.0
48.851496000000004,2023-01-01,21,9990.0,11023.0,0.0,3300.65,740.360995,1285.975,3.85,2023.0,1.0,1.0,6,-2.3,-0.3,-2.7,-3.5,-3.9
49.442495,2023-01-01,22,9696.0,10928.0,0.0,3259.195,670.1204955000001,1285.705,6.37,2023.0,1.0,1.0,6,-2.4,-0.3,-2.7,-3.5,-4.7
49.536447,2023-01-01,23,9394.0,10895.0,0.0,3269.2249994999997,625.363997,1276.6349995,5.684,2023.0,1.0,1.0,6,-2.0,-0.5,-2.4,-3.5,-4.9
49.668045,2023-01-02,0,9195.0,10848.0,0.0,3164.5950000000003,685.9434965,1276.585,5.815,2023.0,1.0,2.0,0,-2.4,-0.6,-2.6,-3.8,-5.4
49.8037945,2023-01-02,1,9234.0,10827.0,0.0,3147.75,679.198495,1275.215,4.858,2023.0,1.0,2.0,0,-2.4,-1.0,-2.8,-3.5,-5.9
51.049647,2023-01-02,2,9306.0,10641.0,0.0,2897.159999,713.2104935,1279.74,5.509,2023.0,1.0,2.0,0,-2.2,-1.0,-2.9,-3.4,-6.4
52.663696,2023-01-02,3,9568.0,10504.0,0.0,2580.575,854.073495,1315.785,7.78,2023.0,1.0,2.0,0,-2.5,-2.2,-3.4,-3.6,-6.9
55.96979650000001,2023-01-02,4,10235.0,10513.0,0.0,2469.7099989999997,832.8429954999999,1429.7649999999999,11.282,2023.0,1.0,2.0,0,-2.8,-4.8,-3.7,-3.2,-7.5
57.277696500000005,2023-01-02,5,10710.0,10811.0,0.0,2395.5349995,1085.0204985,1526.02,15.201,2023.0,1.0,2.0,0,-3.4,-5.6,-3.9,-3.3,-8.3
58.20999400000001,2023-01-02,6,11039.0,10917.0,0.0,2179.5950000000003,1342.8299995,1581.0,16.058,2023.0,1.0,2.0,0,-3.2,-5.8,-3.5,-4.2,-8.7
58.3536965,2023-01-02,7,11101.0,10967.0,0.0,2049.9799995000003,1505.0249995,1599.5049995,16.176,2023.0,1.0,2.0,0,-3.9,-6.0,-3.1,-3.2,-8.8
59.779597,2023-01-02,8,10923.0,10707.0,5.0,2037.3999995,1634.0399995,1602.6399999999999,16.017,2023.0,1.0,2.0,0,-4.9,-5.2,-3.1,-3.3,-8.5
66.608845,2023-01-02,9,10617.0,9698.0,11.1,2019.6049995,1803.065,1604.465,15.769,2023.0,1.0,2.0,0,-4.9,-4.5,-3.2,-5.1,-8.6
67.60514500000001,2023-01-02,10,10837.0,9606.0,15.0,1815.6299995000002,1896.25,1619.6950000000002,15.882,2023.0,1.0,2.0,0,-4.3,-4.3,-2.8,-5.5,-7.1
66.92124700000001,2023-01-02,11,10847.0,9756.0,9.09999,1915.895,1755.2849999999999,1635.1799999999998,15.814,2023.0,1.0,2.0,0,-3.6,-4.6,-3.0,-6.9,-7.8
67.5438445,2023-01-02,12,10872.0,9672.0,0.0,1869.67,1704.675,1623.085,16.302,2023.0,1.0,2.0,0,-3.2,-3.7,-3.4,-5.6,-8.8
66.635395,2023-01-02,13,11022.0,9879.0,0.0,1874.9450000000002,1869.6099989999998,1640.375,17.087,2023.0,1.0,2.0,0,-3.0,-4.1,-4.2,-7.0,-9.0
66.086996,2023-01-02,14,11115.0,9961.0,0.0,1718.9299995000001,2076.979996,1644.525,17.918,2023.0,1.0,2.0,0,-3.1,-3.7,-5.2,-7.7,-11.8
67.095596,2023-01-02,15,11194.0,9896.0,0.0,1648.475,2046.4249965,1659.7899985,18.7,2023.0,1.0,2.0,0,-2.7,-3.4,-5.5,-8.5,-10.7
65.359595,2023-01-02,16,11115.0,10157.0,0.0,1533.9950000000001,2042.4599995,1667.9999994999998,19.221,2023.0,1.0,2.0,0,-1.8,-3.0,-5.8,-8.1,-9.8
65.359898,2023-01-02,17,11085.0,10172.0,0.0,1447.4450000000002,2034.819999,1683.7099999999998,18.091,2023.0,1.0,2.0,0,-1.0,-2.8,-6.6,-8.8,-11.9
